Unit,Family,PLID,Quarter,Month,Quantity,Date
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2015,JUL FY2015,2092,2015-01-07
CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2015,JUL FY2015,3819,2015-01-07
CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2015,JUN FY2015,1395,2015-01-06
CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2015,MAY FY2015,1034,2015-01-05
ERBU,A9K9KFM,A9K-RSP880-SE,Q4 FY2015,JUL FY2015,22,2015-01-07
ERBU,A9K9KFM,A9K-RSP880-SE,Q4 FY2015,JUN FY2015,20,2015-01-06
ERBU,A9K9KFM,A9K-RSP880-SE,Q4 FY2015,MAY FY2015,9,2015-01-05
ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2015,JUL FY2015,61,2015-01-07
ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2015,JUN FY2015,29,2015-01-06
ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2015,MAY FY2015,12,2015-01-05
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2015,JUL FY2015,26,2015-01-07
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2015,JUN FY2015,222,2015-01-06
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2015,MAY FY2015,3,2015-01-05
QKBU,N9500,N9K-C9508,Q4 FY2015,JUL FY2015,327,2015-01-07
QKBU,N9500,N9K-C9508,Q4 FY2015,JUN FY2015,188,2015-01-06
QKBU,N9500,N9K-C9508,Q4 FY2015,MAY FY2015,114,2015-01-05
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2015,JUL FY2015,99,2015-01-07
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2015,JUN FY2015,7,2015-01-06
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2015,MAY FY2015,1,2015-01-05
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2015,JUL FY2015,130,2015-01-07
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2015,JUN FY2015,38,2015-01-06
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2015,MAY FY2015,2,2015-01-05
OTBU,15454W,NCS2015-SA-DC,Q4 FY2015,JUL FY2015,55,2015-01-07
OTBU,15454W,NCS2015-SA-DC,Q4 FY2015,JUN FY2015,39,2015-01-06
OTBU,15454W,NCS2015-SA-DC,Q4 FY2015,MAY FY2015,2,2015-01-05
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2015,JUL FY2015,14,2015-01-07
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2015,JUL FY2015,330,2015-01-07
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2015,JUN FY2015,62,2015-01-06
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2015,MAY FY2015,59,2015-01-05
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2015,JUL FY2015,601,2015-01-07
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2015,JUN FY2015,333,2015-01-06
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2015,MAY FY2015,158,2015-01-05
SRSBU,4300ISR,ISR4321/K9,Q4 FY2015,JUL FY2015,4743,2015-01-07
SRSBU,4300ISR,ISR4321/K9,Q4 FY2015,JUN FY2015,1156,2015-01-06
SRSBU,4300ISR,ISR4321/K9,Q4 FY2015,MAY FY2015,1193,2015-01-05
SRSBU,4300ISR,ISR4331/K9,Q4 FY2015,JUL FY2015,7933,2015-01-07
SRSBU,4300ISR,ISR4331/K9,Q4 FY2015,JUN FY2015,5781,2015-01-06
SRSBU,4300ISR,ISR4331/K9,Q4 FY2015,MAY FY2015,2893,2015-01-05
SRSBU,4300ISR,ISR4351/K9,Q4 FY2015,JUL FY2015,999,2015-01-07
SRSBU,4300ISR,ISR4351/K9,Q4 FY2015,JUN FY2015,717,2015-01-06
SRSBU,4300ISR,ISR4351/K9,Q4 FY2015,MAY FY2015,1087,2015-01-05
SRSBU,ISR1121,ISR4431/K9,Q4 FY2015,JUL FY2015,2723,2015-01-07
SRSBU,ISR1121,ISR4431/K9,Q4 FY2015,JUN FY2015,1105,2015-01-06
SRSBU,ISR1121,ISR4431/K9,Q4 FY2015,MAY FY2015,889,2015-01-05
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2015,JUL FY2015,2053,2015-01-07
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2015,JUN FY2015,404,2015-01-06
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2015,MAY FY2015,1516,2015-01-05
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2015,JUL FY2015,222,2015-01-07
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2015,JUN FY2015,54,2015-01-06
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2015,MAY FY2015,81,2015-01-05
SRSBU,A9K1000,A9K1001-X,Q4 FY2015,JUL FY2015,2343,2015-01-07
SRSBU,A9K1000,A9K1001-X,Q4 FY2015,JUN FY2015,1298,2015-01-06
SRSBU,A9K1000,A9K1001-X,Q4 FY2015,MAY FY2015,1025,2015-01-05
TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2015,JUL FY2015,1684,2015-01-07
TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2015,JUN FY2015,2139,2015-01-06
TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2015,MAY FY2015,1466,2015-01-05
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2015,JUL FY2015,51522,2015-01-07
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2015,JUN FY2015,24386,2015-01-06
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2015,MAY FY2015,19302,2015-01-05
TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2015,JUL FY2015,53909,2015-01-07
TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2015,JUN FY2015,28926,2015-01-06
TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2015,MAY FY2015,22153,2015-01-05
TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2015,JUL FY2015,12665,2015-01-07
TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2015,JUN FY2015,5480,2015-01-06
TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2015,MAY FY2015,2908,2015-01-05
TOASTBU,SFPGE,GLC-TE,Q4 FY2015,JUL FY2015,96,2015-01-07
TOASTBU,SFPGE,GLC-TE,Q4 FY2015,JUN FY2015,96,2015-01-06
TOASTBU,SFPGE,GLC-TE,Q4 FY2015,MAY FY2015,4,2015-01-05
